Beef with carrots and spices,"Ingredients : carrots, beef, oil, ginger, soy sauce, garlic, chicory, spice, onion. Chop the beef into small cubes. Peel and thinly chop the onions and garlic. Brown the onions with the ginger in some oil. Add the garlic, beef,...",,
Avocado Burger,"Ingredients : salad, tomato, olive oil, lemon juice, avocado, salt, pepper, onion. For the sauce: Peel and dice an avocado. Mash with a fork. Thinly slice half the onion. Combine with the mashed avocado and 1 tbsp of...",Easy,15 min
